company_name,company_number,category,website
Овченкова Анастасия,+7 (961) 116-72-11,Салоны красоты,https://mst.link/ovchenkova_anastasiya,Иваново
Beauty Factory,+7 (920) 672-82-77,Салоны красоты,[],Иваново
Церюльня,+7 (905) 059-57-93,Салоны красоты,[],Иваново
O'Beauty Team,+7 (920) 375-30-59,Салоны красоты,[],Иваново
Marmalade,+7 (920) 370-37-98,Салоны красоты,[],Иваново
SelfiePro37,+7 (920) 365-44-62,Салоны бровей и ресниц,[],Иваново
Anastasia Chistova,+7 (961) 247-17-27,Салоны красоты,[],Иваново
Lash-Studio и Pollen_iv,+7 (910) 996-16-66,Салоны красоты,[],Иваново
Beauty Studio,+7 (901) 280-40-99,Салоны красоты,[],Иваново
Beauty Bosses,+7 (962) 162-50-50,Салоны красоты,[],Иваново
LilacLand,+7 (906) 513-87-21,Салоны красоты,[],Иваново
Кабинет красоты,+7 (962) 160-89-08,Салоны красоты,[],Иваново
37 Квартира Маникюра,+7 (920) 356-85-06,Ногтевые студии,[],Иваново
На бровях,+7 (916) 867-26-84,Салоны красоты,[],Иваново
Место Красоты,+7 (920) 370-17-78,Салоны красоты,[],Иваново
Самоцветы,+7 (961) 116-36-07,Парикмахерские,[],Иваново
Бьюти студия by Nastya,+7 (901) 030-97-79,Салоны бровей и ресниц,[],Иваново
Реконструкция волос,+7 (920) 343-25-65,Салоны красоты,[],Иваново
Shakhlova_hair,+7 (930) 356-43-92,Салоны красоты,[],Иваново
Школа-студия перманентного макияжа Екатерины Вальковой,+7 (920) 674-22-60,Салоны красоты,https://taplink.cc/valkova.pm,Иваново
Ambrella,+7 (962) 158-37-07,Салоны красоты,[],Иваново
Evgastar Stilist,+7 (920) 679-69-69,Салоны красоты,[],Иваново
Салон красоты,+7 (930) 342-88-38,Салоны красоты,[],Иваново
Blossom,+7 (920) 671-42-45,Салоны красоты,[],Иваново
Kontur,+7 (901) 289-13-93,Салоны красоты,[],Иваново
Asavelyeva. Lash,+7 (920) 374-46-44,Салоны красоты,[],Иваново
Колорист Анна Лебедева,+7 (929) 087-39-75,Салоны красоты,[],Иваново
Brit Hair Group & Sweet Hair Professional,8 (800) 775-79-83,Курсы для салонов красоты,https://brithairgroup.com/,Иваново
Skins's и шугаринг в Иваново,+7 (920) 679-81-25,Салоны красоты,[],Иваново
Студия красоты,+7 (920) 352-88-07,Салоны красоты,[],Иваново
Косметологический кабинет,+7 (905) 108-69-38,Салоны красоты,[],Иваново
Slim Body,+7 (930) 330-28-27,Салоны красоты,[],Иваново
Fk,+7 (901) 699-16-05,Салоны красоты,https://mst.link/fk_beauty_studio,Иваново
Парикмахерская,+7 (962) 157-90-66,Салоны красоты,[],Иваново
Ногтевая студия,+7 (996) 026-08-35,Ногтевые студии,[],Иваново
Studio Edita Gagarini,+7 (920) 675-32-94,Салоны красоты,[],Иваново
Radana,+7 (930) 342-10-33,Салоны красоты,[],Иваново
Цирюльня,+7 (4932) 27-66-27,Салоны красоты,[],Иваново
Grimerka Anna Bakina,+7 (921) 542-24-03,Салоны красоты,[],Иваново
Pro Lash,+7 (906) 511-96-91,Салоны красоты,[],Иваново
Sevinch Murtuzayeva,+7 (980) 681-38-85,Салоны красоты,[],Иваново
ColorIt,+7 (910) 681-31-99,Салоны красоты,[],Иваново
Студия Марианны Сафиулиной,+7 (910) 696-86-07,Салоны красоты,[],Иваново
Brow studio by Valeria Remizova,+7 (980) 691-01-24,Салоны бровей и ресниц,https://dikidi.net/538219,Иваново
Permanent Makeup,+7 (915) 821-01-70,Салоны красоты,[],Иваново
Paloma Rosa,+7 (920) 678-76-07,Фитнес-клубы,[],Иваново
Фитнес студия Полины Парфеновой,+7 (920) 678-76-07,Фитнес-клубы,[],Иваново
