company_name,company_number,category,website,
Life stil,+7 (921) 543-83-51,Косметология,[],череповец
Апарт-отель Череповец,+7 (8202) 20-11-55,Гостиницы,https://cherepovets.sz35.ru/,череповец
Гостиница Ленинград,+7 (8202) 30-24-12,Гостиницы,[],череповец
Скандинавия,+7 (8202) 55-28-88,Гостиницы,http://www.hotel-scandinavia.ru/,череповец
Весна,+7 (921) 057-56-50,Гостиницы,http://vesna35.ru/,череповец
Александровский,+7 (921) 132-83-93,Гостиницы,http://alekshotel.sz35.ru/,череповец
Северные зори,+7 (8202) 28-00-33,Гостиницы,https://severnyezori.sz35.ru/,череповец
Ампаро,+7 (8202) 50-08-08,Гостиницы,https://hotel-amparo.ru/,череповец
Глобус,+7 (8202) 55-80-68,Гостиницы,http://35hotel.ru/,череповец
АРТ-Отель,+7 (8202) 50-63-06,Гостиницы,http://hotelvcenter.ru/,череповец
Единство,+7 (8202) 25-45-72,Гостиницы,https://edinstvohotel.ru/,череповец
МашБах,+7 (8202) 30-20-36,Гостиницы,[],череповец
Рэд Стрит,+7 (921) 252-94-88,Гостиницы,http://отель-редстрит.рф/,череповец
Люксембург,+7 (931) 517-37-38,Гостиницы,https://luxembourghotel.ru/,череповец
Ленинградский,+7 (8202) 67-60-00,Гостиницы,https://bookonline24.ru/apart-otel-leningradskij?adultsCount=2&fromDate=28.01.2025&t=1737723439542&toDate=30.01.2025,череповец
Галерея,+7 (931) 526-20-00,Гостиницы,[],череповец
Град Отель,+7 (931) 507-92-21,Гостиницы,http://gradhotel.com/,череповец
Виктория,+7 (8202) 57-01-80,Гостиницы,http://35hotel.ru/victoria,череповец
На Набережной,+7 (909) 596-70-64,Гостиницы,[],череповец
Астор,+7 (8202) 25-13-40,Гостиницы,[],череповец
Усадьба,+7 (921) 252-19-63,Гостиницы,[],череповец
Азалия,+7 (921) 254-22-06,Гостиницы,[],череповец
Elka Haus,+7 (921) 250-12-37,Гостиницы,https://elkahaus.com/,череповец
LaVilla,+7 (953) 511-10-01,Гостиницы,[],череповец
Живи уютно на улице Максима Горького 3,+7 (921) 252-68-55,Гостиницы,http://livecomfortably.ru/,череповец
Апартаменты на Ленина 132,+7 (960) 299-33-99,Гостиницы,http://2pillows-cher.ru/,череповец
Апартаменты на Проспекте Победы,+7 (963) 353-33-35,Гостиницы,[],череповец
Апартаменты на Рыбинской 62,+7 (960) 299-33-99,Гостиницы,http://2pillows-cher.ru/,череповец
Апартаменты на Гагарина 39,+7 (960) 299-33-99,Гостиницы,http://2pillows-cher.ru/,череповец
Апартаменты на Раахе 58б,+7 (960) 299-33-99,Гостиницы,http://2pillows-cher.ru/,череповец
Апартаменты на Рыбинской 58,+7 (960) 299-33-99,Гостиницы,http://2pillows-cher.ru/,череповец
Best Home,+7 (909) 596-26-75,Гостиницы,http://best-home.clients.site/,череповец
Стриж,+7 (921) 530-85-35,Гостиницы,[],череповец
АртАпарт,+7 (921) 255-57-51,Гостиницы,[],череповец
Апартаменты Набережная 33,+7 (921) 057-83-84,Гостиницы,[],череповец
Уютные и комфортные апартаменты,+7 (909) 596-66-84,Гостиницы,[],череповец
Апартаменты Победы 53,+7 (921) 057-83-84,Гостиницы,[],череповец
Апартаменты на Улице Комсомольской,+7 (931) 513-32-90,Гостиницы,[],череповец
Апартаменты на Менделеева 10,+7 (921) 534-47-33,Гостиницы,[],череповец
Апартаменты Живи Уютно в новом доме,+7 (931) 511-54-02,Гостиницы,[],череповец
Апартаменты Живи Уютно с комфортом,+7 (931) 511-54-02,Гостиницы,[],череповец
Апартаменты Две подушки с дизайнерским ремонтом,+7 (960) 299-33-99,Гостиницы,[],череповец
Апартаменты Октябрьский 49,+7 (921) 534-47-33,Гостиницы,[],череповец
Турецкая сауна,+7 (8202) 58-25-25,Сауны,[],череповец
Апартаменты Две подушки для тихого отдыха,+7 (960) 299-33-99,Гостиницы,[],череповец
Апартаменты Живи Уютно в Современном Районе,+7 (931) 511-54-02,Гостиницы,[],череповец
Апартаменты Живи Уютно у Ягорбы,+7 (931) 511-54-02,Гостиницы,[],череповец
Живи уютно у Северсталь,+7 (931) 511-54-02,Жильё посуточно,[],череповец
Живи уютно на улице Раахе 56,+7 (931) 511-54-02,Жильё посуточно,[],череповец
Апартаменты Две подушки у жд и авто вокзала,+7 (960) 299-33-99,Жильё посуточно,[],череповец
XService35,+7 (8202) 60-76-09,Автосервисы,[],череповец
Бизонмоторс,+7 (8202) 60-50-90 (доб. 605060),Автосервисы,https://бизонмоторс35.рф/,череповец
М40,+7 (8202) 54-56-45,Автосервисы,[],череповец
ИнтерАвто,+7 (921) 253-25-55,Автосервисы,https://vk.link/interauto35,череповец
Syndicat,+7 (900) 550-76-30,Автосервисы,http://www.syndicat.pro/,череповец
Азарт-Автостиль,+7 (8202) 26-74-78,Автосервисы,[],череповец
