company_name,company_number,category,website
Экодом Сочи,8 (800) 333-13-74,Гостиницы,http://ekodom-hotels.ru/about/sochi/,Сочи
Руссо Туристо,+7 (999) 555-55-12,Гостиницы,http://hotelrussoturisto.ru/,Сочи
Wind Rose Hotel & SPA,+7 (862) 225-63-36,Гостиницы,https://windrose-hotel.ru/,Сочи
Гранд-Отель,+7 (862) 262-06-30,Гостиницы,[],Сочи
Plants & Friends,+7 (938) 440-56-57,Гостиницы,https://plantsandfriends.ru/,Сочи
Лесное,+7 (988) 233-73-71,Гостиницы,http://clck.ru/3AZMCf,Сочи
Пеликан,+7 (928) 234-02-08,Гостиницы,http://hotel-pelican.ru/,Сочи
Барселона Парк,+7 (902) 402-60-60,Гостиницы,https://www.barselona-park.com/,Сочи
Старт,8 (800) 234-62-42,Гостиницы,https://www.yug-sport.ru/hotel_complex/parus,Сочи
HiLoft Hotel,+7 (938) 468-08-88,Гостиницы,https://sochi-hiloft.ru/,Сочи
Сочи-Ривьера,+7 (862) 264-26-78,Гостиницы,http://hotel-sochi-riviera.ru/,Сочи
Экипаж,+7 (862) 267-20-34,Гостиницы,http://www.equipage-sochi.ru/,Сочи
Atmosfera hotel&SPA,+7 (988) 180-30-90,Гостиницы,https://www.atmosferahotel.ru/,Сочи
Парус,8 (800) 234-62-42,Гостиницы,https://www.yug-sport.ru/,Сочи
Тепло,+7 (988) 233-34-88,Гостиницы,http://sochi-s-hotel.ru/,Сочи
Вилла Бавария,8 (800) 550-23-07,Гостиницы,http://www.bavariasochi.ru/,Сочи
Эль Отель,+7 (988) 162-63-33,Гостиницы,http://elle-hotel.com/,Сочи
У Оксаны,+7 (928) 457-22-69,Гостиницы,https://nag.gostdom.org/,Сочи
Сокол,+7 (918) 912-40-30,Гостиницы,[],Сочи
Ostrova SPA Hotel,+7 (862) 259-99-77,Гостиницы,https://www.ostrova-hotel.ru/,Сочи
Альбатрос,+7 (918) 107-04-85,Гостиницы,https://sochi-albatros.ru/,Сочи
Green House Detox & SPA,+7 (918) 900-50-10,Гостиницы,http://www.ghhsochi.ru/,Сочи
Максим Горький,+7 (988) 414-75-48,Гостиницы,[],Сочи
Виноград,+7 (928) 233-95-62,Гостиницы,https://vinogradotel.ru/,Сочи
Аллюр,+7 (988) 250-00-00,Гостиницы,https://allurehotel.replain.site/,Сочи
Черноморская,+7 (988) 506-11-11,Гостиницы,https://chernomorskaia.hotel2you.ru/,Сочи
Сон у моря,+7 (938) 877-27-77,Гостиницы,[],Сочи
Garden Hills 2,+7 (862) 444-01-99 (доб. 2),Гостиницы,https://brgarden.ru/,Сочи
Green House,+7 (967) 696-96-29,Гостиницы,http://ghotels.ru/,Сочи
Романов,+7 (912) 657-05-30,Гостиницы,[],Сочи
Верещагинский,+7 (999) 633-06-56,Гостиницы,[],Сочи
Валентин,+7 (862) 262-45-73,Гостиницы,http://www.sochivalentin.ru/,Сочи
Валентин,+7 (862) 262-45-73,Детские площадки,http://www.sochivalentin.ru/,Сочи
Отель Цветной 5,+7 (989) 162-49-46,Гостиницы,[],Сочи
Лазурная Отель и СПА,+7 (862) 266-30-00,Гостиницы,[],Сочи
Маро,+7 (988) 500-60-08,Гостиницы,https://hotel-maro.ru/,Сочи
Восток,+7 (928) 245-95-78,Гостиницы,[],Сочи
Заречный,+7 (962) 888-08-40,Гостиницы,https://otel-zarechnyj.clients.site/,Сочи
Ривьера Арт,+7 (989) 160-00-80,Гостиницы,[],Сочи
Радужный,+7 (938) 401-80-08,Гостиницы,[],Сочи
Графит,+7 (988) 233-37-67,Гостиницы,http://hotelgraphite.ru/,Сочи
Анита,+7 (918) 409-40-68,Гостиницы,[],Сочи
Серый гусь,+7 (988) 164-80-08,Гостиницы,http://seriy-gus-hotel.ru/,Сочи
Отель на Орджоникидзе,+7 (918) 567-58-98,Гостиницы,https://отель-орджоникидзе.рф/,Сочи
Гостевой дом на Черноморской 2,+7 (918) 400-66-06,Гостиницы,https://onmore.online/,Сочи
Моё море,+7 (992) 888-48-48,Гостиницы,https://моё-море.с0чи.рф/,Сочи
Волна,+7 (962) 889-57-20,Гостиницы,https://hotel-volna.clients.site/,Сочи
СочиПосуточно,+7 (913) 653-78-41,Гостиницы,https://сочипосуточно.рф/,Сочи
Вилла Жасмин,+7 (988) 237-41-41,Гостиницы,[],Сочи
Delsochi,+7 (995) 613-15-01,Гостиницы,[],Сочи
Светлана-Парк,+7 (902) 402-60-60,Гостиницы,https://svetlana-park.clients.site/,Сочи
Black Sea Sochi,+7 (966) 777-11-12,Гостиницы,[],Сочи
Чемодан,+7 (938) 466-40-03,Гостиницы,http://www.hotelsochichemodan.ru/,Сочи
Апарт-отель Покровский,+7 (988) 185-08-48,Гостиницы,https://pokrovskiypark.ru/,Сочи
Русалина,+7 (988) 239-43-39,Гостиницы,https://hotelrusalina.ru/,Сочи
Анатолъ,+7 (918) 979-87-77,Гостиницы,https://hotelanatol.ru/,Сочи
Villas & SPA by Ostrova,+7 (862) 259-99-77,Гостиницы,https://villa.ostrova-hotel.ru/,Сочи
Golden Holiday,+7 (985) 411-11-75,Гостиницы,[],Сочи
Ареда,+7 (918) 403-00-93,Гостиницы,[],Сочи
Guest House na Lizy Chaikinoy 9/1,+7 (988) 156-78-37,Гостиницы,[],Сочи
Олимп,+7 (918) 408-25-05,Гостиницы,http://gd-olimp-sochi.ru/,Сочи
У Оксаны,+7 (938) 888-05-98,Гостевые дома,https://pion.gostdom.org/,Сочи
Бамбук,+7 (924) 183-13-81,Гостиницы,[],Сочи
Сайфоет,+7 (988) 160-42-79,Гостиницы,[],Сочи
Vero,+7 (988) 286-56-82,Гостиницы,[],Сочи
ЖК Покровский Парк,+7 (988) 185-08-48,Гостиницы,https://pokrovskiypark.ru/,Сочи
Олимпия,+7 (999) 428-55-55,Гостиницы,http://olimpia-sochi.ru/,Сочи
Апартаменты Нагорная 18,+7 (913) 603-60-60,Гостиницы,https://nagornaya18.ru/,Сочи
Мини Пансион Сочи,+7 (988) 238-59-59,Гостиницы,[],Сочи
Верещагинская Дача by Provence,+7 (928) 456-11-11 (доб. 2),Гостиницы,https://vereshchaginhotel.ru/?utm_campaign=home_site&utm_medium=referral&utm_source=yandex_business,Сочи
ЧипВип,+7 (917) 269-23-21,Гостиницы,[],Сочи
АпартСочи,+7 (862) 225-54-48,Гостиницы,http://www.apartsochi.ru/,Сочи
Центральные Апартаменты Сочи,+7 (918) 526-05-55,Гостиницы,https://tsentralnye-apartamenty-sochi.clients.site/,Сочи
Мини-отель На Нагорной,+7 (918) 913-55-88,Гостиницы,[],Сочи
Roof,+7 (862) 271-50-45,Хостелы,[],Сочи
Хостел на Навагинской,+7 (928) 458-88-78,Хостелы,http://www.hostelonnavaginskaya.ru/,Сочи
Пионер,+7 (918) 406-13-63,Гостевые дома,http://www.pioner43.ru/,Сочи
Тепло,+7 (988) 233-34-88,Гостиницы,[],Сочи
Апарт-отель,+7 (967) 316-81-32,Гостиницы,https://apart-otel-roz-82.clients.site/,Сочи
Удачный,+7 (938) 400-24-99,Гостиницы,[],Сочи
Апартаменты Премьер,+7 (985) 411-11-75,Гостиницы,https://goldenholiday.ru/,Сочи
